브랜드명_제품명,건강 고민 정보
오니스트_트리플콜라겐 오렌지,피부건강
오리진_옵티멈 오메가-3 맥스 1200,스트레스&수면
오슬로메가_오메가3 피쉬오일 1500mg,"눈건강,두뇌활동,스트레스&수면,임산부&태아건강,혈관혈액순환,혈중중성지방"
오쏘몰_이뮨 드링크+타블렛 (국내),"갑상선건강,눈건강,눈건강,면역기능,치아잇몸&잇몸건강,피부건강,혈당,호흡기건강"
오쏘몰_이뮨 드링크+타블렛 (해외),"갑상선건강,눈건강,면역기능,치아잇몸&잇몸건강,피부건강,혈당"
올바른_와이 케어 프로바이오틱스 VL8,여성건강
와이피컴퍼니_아르게이지,치아잇몸&잇몸건강
우리이앤엘_하루틴 멀티비타민 원데이,"갑상선건강,피부건강,혈당"
원어데이_맨스 컴플리트 멀티비타민,"갑상선건강,면역기능,뼈건강,치아&잇몸,혈당"
원어데이_우먼 컴플리트 멀티비타민,"갑상선건강,뼈건강"
웨버내추럴_비타민D 1000IU,"뼈건강,호흡기건강"
위시헬씨_하루엔진,간건강
유니시티_오메가 라이프-3 리졸브,"두뇌활동,스트레스&수면,혈관혈액순환,혈중중성지방"
유사나_마그네칼D,"스트레스&수면,여성건강,치아&잇몸"
유사나_마이 스마트 쉐이크 화이버지 플러스,"장건강,혈중콜레스테롤"
유사나_바이오메가,"두뇌활동,스트레스&수면,혈중중성지방"
유사나_헬스팩,"눈건강,눈건강,뼈건강,스트레스&수면,여성건강,치아&잇몸,치아잇몸&잇몸건강,피부건강,혈당"
유한메디카_트루액티비5정,스트레스&수면
유한양행_뉴오리진 이너플로라 UREX 프로바이오틱스,여성건강
유한양행_마그비 맥스,"간건강,스트레스&수면,혈관혈액순환"
유한양행_마그비 액티브정,스트레스&수면
유한양행_마그비감마,스트레스&수면
유한양행_마그비연질캡슐,"스트레스&수면,여성건강,피로감"
유한양행_메가트루,"간건강,피로감,피부건강,혈관혈액순환"
유한양행_메가트루 골드,"눈건강,치아&잇몸"
유한양행_메가트루 파워,"간건강,면역기능,빈혈,소화&위식도건강,혈관혈액순환"
유한양행_비타민 씨디,"면역기능,치아잇몸&잇몸건강"
유한양행_비타민C 1000mg,"노화&향산화,면역기능,치아잇몸&잇몸건강,호흡기건강"
유한양행_삐콤씨,"치아잇몸&잇몸건강,호흡기건강"
유한양행_삐콤씨 파워,"면역기능,치아잇몸&잇몸건강,호흡기건강"
유한양행_센스밸런스,"빈혈,피부건강,혈관혈액순환"
유한양행_에너리버,간건강
유한양행_엘레나 UREX 프로바이오틱스,여성건강
익스트림_(단종) 트리플 아르기닌 6200,"남성건강,운동능력&근육량"
익스트림_쏘팔메토 옥타코사놀 550,운동능력&근육량
인테로_멀티비타민 앤 미네랄 밸런스,"갑상선건강,눈건강,눈건강,빈혈,뼈건강,피부건강,혈당"
인테로_오메가3 밸런스1200,"두뇌활동,스트레스&수면,혈관혈액순환,혈중중성지방"
인테로_칼슘마그네슘아연 앤 비타민D 밸런스,"뼈건강,치아&잇몸"
일동생활건강_생생 프로바이오틱스 유산균,장건강
일동제약_마이니 스트레스 피로케어,"간건강,빈혈,피로감,혈관혈액순환"
일동제약_비타민D3 2000IU,"면역기능,임산부&태아건강"
일동제약_비타민씨 1000mg,"노화&향산화,면역기능,치아잇몸&잇몸건강,호흡기건강"
일동제약_아로나민 골드,피로감
일동제약_아로나민 골드 프리미엄,"빈혈,피로감,피부건강,혈관혈액순환"
일동제약_아로나민 씨플러스,"면역기능,치아잇몸&잇몸건강,피부건강,호흡기건강"
일동제약_엑세라민 비,"간건강,피로감,피부건강,혈관혈액순환"
일동제약_엑세라민 엑소,"간건강,피로감,피부건강,혈관혈액순환"
일동제약_엑세라민 프로,"간건강,면역기능,빈혈,피로감,피부건강,혈관혈액순환"
일동제약_엑셀비타프리미엄,"눈건강,눈건강,스트레스&수면"
일동제약_지큐랩 포스트바이오틱스 알에이치티,피부건강
일동후디스_하이뮨 프로틴 밸런스,치아&잇몸
일맥네이처스퀘어_속편한에센셜,소화&위식도건강
일양약품_일양 밀크시슬칸,피부건강
자로우포뮬라_EPA-DHA 밸런스,"두뇌활동,스트레스&수면,혈관혈액순환,혈중중성지방"
자로우포뮬라_매스틱 검,소화&위식도건강
자로우포뮬라_보리지 GLA-240,"여성건강,피부건강,혈중콜레스테롤"
자로우포뮬라_사카로미세스 보울라디 플러스 MOS,장건강
자로우포뮬라_아르기닌 1000mg,"남성건강,운동능력&근육량"
자로우포뮬라_우먼스 펨 도필러스 10억(국내),여성건강
자로우포뮬라_우먼스 펨 도필러스 10억(해외),여성건강
자로우포뮬라_우먼스 펨 도필러스 50억,여성건강
자로우포뮬라_자로우 도필러스 EPS 500억 30캡슐,장건강
자로우포뮬라_자로우 도필러스 EPS 50억 120캡슐(해외),"임산부&태아건강,장건강"
자로우포뮬라_자로우 도필러스 우먼 100억,여성건강
자로우포뮬라_징크 밸런스,남성건강
자로우포뮬라_히알루론산,피부건강
자미에슨_멀티비타민 츄어블,"눈건강,눈건강"
정관장_홍삼정 에브리타임 10ml,"두뇌활동,면역기능,피로감,혈관혈액순환"
제노포커스_비우자,"장건강,혈당,혈중중성지방"
제이앤에이치바이오_바이오 미네랄,"면역기능,뼈건강,스트레스&수면,여성건강,치아&잇몸"
제일헬스사이언스_쎈트힐 제일와이 Y유산균,여성건강
제일헬스사이언스_투엑스비 골드 100,"간건강,소화&위식도건강,스트레스&수면,혈관혈액순환"
제일헬스사이언스_투엑스비 듀얼 정,"간건강,면역기능,뼈건강,소화&위식도건강,스트레스&수면,피로감,피부건강,혈관혈액순환"
젠와이즈헬스_조인트 서포트,관절건강
조아제약_츄어블 비타민D 4000IU,"뼈건강,호흡기건강"
조아제약_훼마틴,"빈혈,혈관혈액순환"
종근당_간건강 슈퍼케어,간건강
종근당_고운자임맘,임산부&태아건강
종근당_닥터굿스 비타민D 4000IU 츄어블,"뼈건강,호흡기건강"
종근당_벤포벨B,"간건강,면역기능,뼈건강,소화&위식도건강,스트레스&수면,피로감,혈관혈액순환,호흡기건강"
종근당_벤포벨G,소화&위식도건강
종근당_볼그레,빈혈
종근당_볼그레 액,"빈혈,임산부&태아건강"
종근당_비타민C 1000mg,"노화&향산화,면역기능,치아잇몸&잇몸건강,호흡기건강"
종근당_액티리버모닝,간건강
종근당_젠빅플러스,"스트레스&수면,스트레스&수면,여성건강,피로감"
종근당_차전자피 식이섬유,장건강
종근당_칼슘 앤 마그네슘 비타민D 아연,뼈건강
종근당_프로바이오틱스 유산균19,장건강
종근당_프리바이오틱스 프락토올리고당 FOS,장건강
종근당_활력비타민B 플러스,"빈혈,피로감,피부건강,혈관혈액순환"
종근당건강_(단종) 락토핏 생유산균 골드,장건강
종근당건강_(단종) 락토핏 생유산균 슬림,"장건강,체지방"
종근당건강_(단종) 락토핏 생유산균 코어,"임산부&태아건강,장건강"
종근당건강_뉴오메가-3,"혈관혈액순환,혈중중성지방"
종근당건강_락토핏 생유산균 골드 5X,장건강
종근당건강_락토핏 생유산균 맘스,임산부&태아건강
종근당건강_락토핏 생유산균 키즈,호흡기건강
종근당건강_락토핏 생유산균 화이버,"장건강,장건강"
종근당건강_락토핏 장을 위한 생유산균19,장건강
종근당건강_벤포벨S,소화&위식도건강
종근당건강_비타민D 2000IU,면역기능
종근당건강_쏙쏙 칼슘,"뼈건강,치아&잇몸"
종근당건강_아이케어 오메가3 로얄,"눈건강,눈건강,혈관혈액순환,혈중중성지방"
종근당건강_아이클리어 루테인아스타잔틴,눈건강
종근당건강_아이클리어 루테인지아잔틴,"눈건강,눈건강"
종근당건강_올앳미 콜라겐 3270,피부건강
종근당건강_와일드비 프로폴리스 플러스,치아잇몸&잇몸건강
종근당건강_원데이21,"갑상선건강,피부건강,혈당"
종근당건강_칼슘 마그네슘,뼈건강
종근당건강_코큐텐 플러스,혈압
종근당건강_프로메가 리얼 오메가3,"혈관혈액순환,혈중중성지방"
종근당건강_프리미엄 비타C 1000 플러스,"치아잇몸&잇몸건강,호흡기건강"
종근당건강_헬씨칸,간건강
종근당건강_헬씨칸 로얄,간건강
종근당건강_혈행건강 프로메가 알티지 오메가3 듀얼,"혈관혈액순환,혈중중성지방"
종근당건강_혈행건강 프로메가 오메가3,"혈관혈액순환,혈중중성지방"
종근당건강_혈행건강 프로메가 오메가3 트리플,"두뇌활동,혈관혈액순환,혈중중성지방"
주영엔에스_관절엔 콘드로이친 1200,관절건강
줄리스초이스_에버비타민,빈혈
중외제약_루테인지아잔틴 오메가,"눈건강,눈건강,눈건강,피부건강,혈관혈액순환,혈중중성지방"
중외제약_프리미엄 프리바이오틱스 FOS 4000,장건강
중외제약_헤모포스,임산부&태아건강
지노프레쉬_건강해질 여성유산균,여성건강
지알앤_분홍이 플러스 비포 그린라이트 가르시니아 12플러스,체지방
지알앤_올댓다이어트 7플러스 검정이,"운동능력&근육량,체지방"
지엔엠_rTG알티지 오메가3,"두뇌활동,스트레스&수면,임산부&태아건강,혈관혈액순환,혈중중성지방"
지엔엠_건강한 간 밀크씨슬,간건강
지엔엠_관절엔 MSM,"관절건강,뼈건강,호흡기건강"
지엔엠_루테인 지아잔틴 아스타잔틴,"눈건강,눈건강,피부건강"
지엔엠_루테인 지아잔틴 오메가3,"눈건강,눈건강,피부건강"
지엔엠_루테인11,피부건강
지엔엠_루테인오메가3,"눈건강,혈관혈액순환,혈중중성지방"
지엔엠_마그네슘05,"스트레스&수면,여성건강,피부건강"
지엔엠_비타민D 2000IU,"뼈건강,임산부&태아건강,호흡기건강"
지엔엠_신바이오틱스 10억 생 유산균 프리바이오틱스,장건강
지엔엠_액티브비타민B 컴플렉스,피부건강
지엔엠_칼슘 마그네슘 아연 비타민D,"뼈건강,임산부&태아건강,치아&잇몸"
지엔엠_코큐텐 오메가3,혈압
지엔엠_코큐텐11,혈압
지엔엠_파워 L 아르기닌,"남성건강,운동능력&근육량"
지엔엠_프로폴리스 05,치아잇몸&잇몸건강
지엠팜_더 폴릭 포 마미,임산부&태아건강
지웨이_알티지 오메가3 장용성 EPA DHA,혈중중성지방
진약사몰_진정주 비타B,"간건강,빈혈,피로감,혈관혈액순환"
차바이오에프앤씨_닥터프로그램 마더스케어 올인원 플러스1,"갑상선건강,뼈건강,뼈건강,임산부&태아건강,호흡기건강"
차바이오에프앤씨_닥터프로그램 마더스케어 올인원 플러스2,임산부&태아건강
청안오가닉스_슬림플래닛 L-카르니틴 2000mg 엑서사이즈,남성건강
청안오가닉스_슬림플래닛 녹차카테킨 500mg 애프터밀,체지방
칼로바이_퍼펙트 파워쉐이크 초코맛,운동능력&근육량
캘리포니아골드뉴트리션_CoQ10 100mg,혈압
캘리포니아골드뉴트리션_CoQ10 100mg with BioPerine 150캡슐,"노화&향산화,혈압"
캘리포니아골드뉴트리션_CoQ10 100mg with PQQ,혈압
캘리포니아골드뉴트리션_골드 C 비타민C 1000mg,"노화&향산화,면역기능,치아잇몸&잇몸건강,호흡기건강"
캘리포니아골드뉴트리션_골드 C 파우더 비타민C 1000mg,치아잇몸&잇몸건강
캘리포니아골드뉴트리션_데일리멀티비타민,"갑상선건강,빈혈,피로감,피부건강,혈관혈액순환"
캘리포니아골드뉴트리션_락토비프 프로바이오틱스 300억,장건강
캘리포니아골드뉴트리션_락토비프 프로바이오틱스 50억,"임산부&태아건강,장건강"
캘리포니아골드뉴트리션_루테인 20mg with 지아잔틴,눈건강
캘리포니아골드뉴트리션_마그네슘 킬레이트,"스트레스&수면,여성건강"
캘리포니아골드뉴트리션_매스틱검 500mg,소화&위식도건강
캘리포니아골드뉴트리션_분리유청단백질 다크초코맛,"갑상선건강,혈압"
캘리포니아골드뉴트리션_비 프로폴리스 2X 500mg,치아잇몸&잇몸건강
캘리포니아골드뉴트리션_비타민D3 2000IU,"면역기능,뼈건강,임산부&태아건강,호흡기건강"
캘리포니아골드뉴트리션_비타민D3 구미,"뼈건강,호흡기건강"
캘리포니아골드뉴트리션_실리마린 컴플렉스,"간건강,소화&위식도건강"
캘리포니아골드뉴트리션_아스타잔틴 AstaLif 12mg,눈건강
캘리포니아골드뉴트리션_오메가 800,"혈관혈액순환,혈중중성지방"
캘리포니아골드뉴트리션_오메가3 프리미엄 피쉬오일,"혈관혈액순환,혈중중성지방"
캘리포니아골드뉴트리션_우먼 멀티비타민,"뼈건강,혈당,호흡기건강"
캘리포니아골드뉴트리션_이뮨4,"면역기능,뼈건강,치아잇몸&잇몸건강,피부건강"
커클랜드_글루코사민 HCI 위드 MSM,관절건강
커클랜드_데일리 멀티 비타민&미네랄(국내),"갑상선건강,눈건강,눈건강,치아&잇몸"
커클랜드_비타민C,치아잇몸&잇몸건강
커클랜드_비타민C 1000mg,"면역기능,치아잇몸&잇몸건강,호흡기건강"
커클랜드_슈퍼 오메가3,"혈관혈액순환,혈중중성지방"
커클랜드_칼슘 시트레이트 마그네슘 아연(해외),"면역기능,뼈건강,치아&잇몸"
컨트리라이프_맥시 헤어 스킨 & 네일스,"피부건강,혈관혈액순환"
컨트리라이프_맥시-헤어 플러스 5000mcg,"갑상선건강,빈혈,피부건강,혈관혈액순환"
컨트리라이프_비 프로폴리스,치아잇몸&잇몸건강
컨트리라이프_칼슘 마그네슘 포타슘,혈압
코스맥스바이오_오한진 프리바이오틱스 FOS 플러스,장건강
투데이헬스케어_오늘부터 웰컷,"장건강,체지방,혈중콜레스테롤"
트루알엑스_리치콜라겐,피부건강
트루엔_눈피로 플로라루테인,"눈건강,눈건강"
트루엔_듀얼액상콜라겐,피부건강
트루엔_알티지 오메가3,"눈건강,두뇌활동,스트레스&수면,임산부&태아건강,혈관혈액순환,혈중중성지방"
트루엔_프로바이오틱스 로제,여성건강
트루포뮬러_위톱,소화&위식도건강
트리즈커머스_마이해빗 프리미엄 효소습관,소화&위식도건강
튼튼닷컴_루테인 프리미엄,"눈건강,눈건강,눈건강"
튼튼닷컴_비타민B 컴플렉스,"빈혈,혈관혈액순환"
튼튼닷컴_프로폴리스,치아잇몸&잇몸건강
파마넥스_유스스팬3,"눈건강,두뇌활동,면역기능,스트레스&수면,피부건강,혈관혈액순환,혈당,혈중중성지방"
파마젠_알티지 오메가3,"스트레스&수면,혈중중성지방"
파이토웨이_써큐시안 블러드케어,"혈압,혈중콜레스테롤"
파이토웨이_판토모나 비오틴 플러스 맥스 남성용,운동능력&근육량
파이토웨이_판토모나 비오틴 하이퍼포머,혈당
팜스빌_비타민스토리 맥스 칼슘 마그네슘 비타민D&C 플러스,"스트레스&수면,여성건강"
팜스빌_애플트리김약사네 벨기에 유산균 다이어트 트리플러스,"장건강,체지방"
팜스빌_애플트리김약사네 장건강365 프리바이오틱스 프로바이오틱스,장건강
퍼스트팜_가르시니아 다이어트,체지방
페미밸런스_페미밸런스 플러스,여성건강
푸드올로지_(단종) 콜레올로지,"체지방,피부건강"
푸드올로지_맨올로지 컷,운동능력&근육량
프로뉴트리션_칼로버스트,체지방
프로스랩_핑크 프로바이오틱스,여성건강
프롬바이오_눈건강엔 빌베리 플러스,"눈건강,눈건강,눈건강,혈관혈액순환,혈중중성지방"
프롬바이오_수면건강엔 락티움 플러스,"스트레스&수면,스트레스&수면"
피코크_유산균 프로바이오틱스,장건강
피토틱스_시트루 아르기닌,"남성건강,운동능력&근육량"
피토틱스_옐로우,장건강
피트라인_(단종) 리스토레이트,"스트레스&수면,여성건강,혈당"
필리_비타민B,피로감
필리_칼슘 마그네슘 비타민D,치아&잇몸
필리_히알루론산 스피루리나,피부건강
한국야쿠르트_엠프로 프로바이오틱스 윌,소화&위식도건강
한국인삼공사_정관장,"두뇌활동,혈관혈액순환"
한국인삼공사_정관장 뉴트리팩,"두뇌활동,혈관혈액순환"
한국인삼공사_정관장 홍삼 정옥고 250g,"두뇌활동,피로감"
한국인삼공사_정관장 홍삼정 240g,"두뇌활동,피로감,혈관혈액순환"
한국인삼공사_정관장 홍삼정 로얄 240g,두뇌활동
한국인삼공사_정관장 홍삼정 에브리타임 밸런스 10ml,"두뇌활동,피로감"
한국인삼공사_정관장 홍삼톤 50ml,"두뇌활동,피로감"
한국인삼공사_정관장 홍삼톤 골드 40ml,두뇌활동
한국인삼공사_정관장 화애락 진 70ml,"두뇌활동,혈관혈액순환"
한국인삼공사_정관장 화애락 큐,"두뇌활동,혈관혈액순환"
한국코와_카베진코와알파정,소화&위식도건강
한국효소_효소원N,소화&위식도건강
한미약품_나인나인,눈건강
한미약품_루테인 맥스,"눈건강,눈건강,눈건강"
한미약품_비엘비,스트레스&수면
한미약품_텐텐 츄정,"눈건강,뼈건강"
한미양행_눈부신 비타민D 4000IU,"뼈건강,호흡기건강"
한미양행_헤파케어 골드,간건강
한미헬스케어_365 눈건강 루테인,"눈건강,눈건강"
한미헬스케어_쇼킹 다이어트,"체지방,체지방"
한미헬스케어_칼슘 마그네슘 아연 비타민D,치아&잇몸
해비추얼(와이즐리)_(단종) 혈행 눈건강 기억력 오메가3,"두뇌활동,스트레스&수면,혈중중성지방"
해비추얼(와이즐리)_눈 건강 아스타잔틴,눈건강
해비추얼(와이즐리)_뼈신경근육엔 칼슘마그네슘,치아&잇몸
해비추얼(와이즐리)_에너지 포커스,"갑상선건강,피부건강,피부건강,혈당"
해비추얼(와이즐리)_항산화면역 프로폴리스,피부건강
해비추얼(와이즐리)_활력충전 멀티비타민&미네랄,"갑상선건강,피부건강,피부건강,혈당"
헤어메스_바이오렉트라 마그네슘 400mg 울트라 다이렉트,스트레스&수면
헬스밸런스_베스처 루테인 플러스 오메가3 멀티비타민 앤 미네랄,"눈건강,눈건강,혈중중성지방"
헬스헬퍼_맥스컷 버닝,체지방
홀리데이즈_L-아르기닌 1000,"남성건강,운동능력&근육량"
홀리데이즈_오메가3 1100,스트레스&수면
황금구렁이_황금구렁이,장건강
휴럼_시서스 스피드 다이어트,체지방
휴온스_메리트 C&D,"면역기능,치아잇몸&잇몸건강,호흡기건강"
